policy_id,age,gender,marital_status,vehicle_age,vehicle_value,vehicle_type,policy_tenure,deductible,coverage_type,region,state,claim_type,at_fault,weather_condition,time_of_day,claim_amount
847,49,M,Single,0,,Truck,1.0,500,Basic,Rural,NC,Comprehensive,Yes,Snow,Evening,6882
848,81,F,Married,4,19296.0,SUV,14.0,1000,Premium,Urban,CA,Collision,Yes,Fog,Morning,18804
849,35,M,Married,11,26039.0,SUV,3.0,2000,Premium,Suburban,PA,Liability,Yes,Clear,Night,10111
850,37,F,Single,2,20368.0,Luxury,3.0,500,Basic,Rural,OH,Liability,Yes,Rain,Morning,9981
851,35,M,Married,1,8613.0,Sedan,12.0,500,Standard,Suburban,NC,Liability,No,Snow,Afternoon,7491
852,36,M,Divorced,11,35549.0,Truck,8.0,500,Premium,Urban,NY,Liability,No,Clear,Afternoon,9508
853,35,M,Married,5,8846.0,SUV,3.0,1000,Premium,Rural,OH,Comprehensive,Yes,Clear,Night,8011
854,62,M,Divorced,0,13585.0,Luxury,1.0,1000,Premium,Urban,GA,Collision,No,Fog,Morning,7631
855,66,M,Divorced,2,17563.0,Sedan,0.0,500,Premium,Urban,PA,Comprehensive,Yes,Snow,Morning,11509
856,36,F,Single,5,8293.0,Truck,7.0,500,Premium,Rural,IL,Collision,Yes,Rain,Morning,14270
857,32,F,Single,4,12704.0,Sedan,10.0,500,Premium,Suburban,TX,Comprehensive,Yes,Clear,Night,8559
858,52,F,Married,4,24894.0,Sedan,2.0,1000,Standard,Urban,CA,Liability,Yes,Clear,Evening,10108
859,36,F,Married,4,18521.0,Sedan,0.0,1000,Standard,Suburban,FL,Comprehensive,Yes,Rain,Afternoon,7388
860,54,M,Married,7,19301.0,SUV,3.0,1000,Standard,Rural,GA,Liability,Yes,Clear,Night,10300
861,48,F,Married,1,13939.0,Luxury,1.0,500,Basic,Urban,IL,Liability,Yes,Clear,Afternoon,8256
862,22,M,Married,6,22540.0,Sedan,0.0,2000,Standard,Urban,MI,Comprehensive,No,Clear,Afternoon,4536
863,68,F,Single,20,18720.0,Sedan,10.0,250,Standard,Suburban,IL,Comprehensive,No,Clear,Morning,5648
864,71,M,Widowed,2,9696.0,Sedan,1.0,1000,Premium,Urban,NC,Collision,Yes,Clear,Evening,13816
865,35,M,Single,7,19921.0,SUV,4.0,1000,Standard,Rural,NC,Collision,Yes,Clear,Evening,9853
866,39,M,Divorced,1,11837.0,Sedan,2.0,1000,Standard,Suburban,NC,Liability,No,Clear,Night,5268
867,49,M,Single,1,34504.0,Luxury,7.0,500,Premium,Suburban,GA,Comprehensive,No,Clear,Afternoon,4794
868,50,M,Single,13,18110.0,SUV,4.0,500,Standard,Urban,MI,Liability,Yes,Snow,Afternoon,14729
869,54,M,Single,0,77711.0,Truck,0.0,250,Standard,Suburban,GA,Collision,Yes,Fog,Morning,14662
870,75,F,Widowed,1,35719.0,Truck,2.0,1000,Premium,Urban,TX,Comprehensive,Yes,Clear,Evening,10094
871,42,F,Single,3,20637.0,SUV,1.0,250,Basic,Suburban,TX,Collision,Yes,Clear,Afternoon,7444
872,33,M,Married,2,29429.0,Sports,5.0,500,Basic,Urban,IL,Collision,No,Rain,Morning,5789
873,24,M,Divorced,4,7747.0,Sports,3.0,2000,Standard,Suburban,PA,Comprehensive,Yes,Rain,Morning,6430
874,34,F,Married,1,35638.0,Sedan,1.0,2000,Standard,Suburban,IL,Collision,Yes,Clear,Morning,7436
875,44,M,Married,0,14615.0,Sports,1.0,500,Standard,Suburban,GA,Liability,Yes,Clear,Afternoon,12960
876,71,F,Widowed,2,23037.0,SUV,0.0,500,Premium,Suburban,CA,Collision,Yes,Clear,Evening,15665
877,37,M,Divorced,3,15308.0,Sedan,0.0,500,Standard,Urban,PA,Liability,No,Clear,Afternoon,7910
878,48,F,Married,4,16144.0,SUV,4.0,1000,Premium,Urban,MI,Comprehensive,No,Clear,Night,4306
879,44,F,Married,4,20119.0,Sedan,3.0,1000,Basic,Urban,MI,Collision,Yes,Rain,Morning,6599
880,62,F,Widowed,3,22889.0,SUV,1.0,500,Standard,Rural,IL,Comprehensive,Yes,Clear,Morning,6908
881,82,F,Widowed,1,21732.0,Truck,7.0,500,Standard,Urban,TX,Liability,Yes,Rain,Evening,19941
882,37,M,Married,7,22004.0,Sedan,2.0,500,Basic,Urban,GA,Liability,Yes,Clear,Evening,8087
883,37,M,Divorced,0,9770.0,Sedan,6.0,500,Standard,Urban,OH,Collision,Yes,Rain,Morning,10982
884,60,F,Married,1,70687.0,Luxury,6.0,2000,Premium,Urban,MI,Collision,Yes,Rain,Afternoon,14194
885,55,F,Married,6,24735.0,SUV,7.0,250,Premium,Suburban,IL,Collision,No,Clear,Afternoon,8841
886,72,M,Single,1,27413.0,Sedan,7.0,1000,Standard,Urban,TX,Comprehensive,Yes,Clear,Evening,7418
887,53,F,Single,3,18583.0,Sports,4.0,1000,Standard,Urban,TX,Collision,Yes,Clear,Morning,8359
888,39,M,Married,1,14227.0,Sports,5.0,1000,Standard,Rural,CA,Comprehensive,Yes,Clear,Evening,5581
889,53,M,Married,3,23754.0,Sedan,6.0,500,Standard,Urban,GA,Collision,Yes,Clear,Afternoon,10458
890,61,F,Single,2,25454.0,Sedan,0.0,500,Basic,Urban,PA,Liability,No,Fog,Afternoon,6104
891,57,M,Married,20,42230.0,Sports,1.0,2000,Standard,Suburban,TX,Comprehensive,Yes,Clear,Morning,6802
892,52,M,Married,2,62243.0,Sedan,0.0,250,Basic,Rural,PA,Liability,Yes,Clear,Night,9447
893,61,M,Widowed,4,46097.0,SUV,0.0,2000,Standard,Rural,NY,Comprehensive,Yes,Clear,Morning,5132
894,62,M,Divorced,10,9106.0,Sedan,6.0,250,Basic,Suburban,FL,Collision,No,Rain,Morning,4857
895,65,F,Married,5,17497.0,Truck,11.0,250,Standard,Suburban,NC,Comprehensive,Yes,Clear,Night,9217
896,54,F,Divorced,4,26053.0,Sedan,4.0,1000,Standard,Suburban,FL,Collision,No,Clear,Morning,4713
897,42,M,Married,4,18031.0,SUV,8.0,1000,Premium,Suburban,GA,Collision,Yes,Clear,Afternoon,10080
898,47,M,Married,3,21549.0,Sedan,1.0,250,Standard,Suburban,MI,Liability,Yes,Clear,Afternoon,13450
899,63,M,Widowed,8,7535.0,Sedan,7.0,500,Standard,Suburban,GA,Comprehensive,Yes,Clear,Afternoon,6775
900,32,M,Married,0,34790.0,Sedan,1.0,2000,Standard,Suburban,IL,Collision,Yes,Clear,Evening,6259
901,50,F,Married,10,8623.0,Sedan,8.0,500,Premium,Suburban,PA,Liability,No,Clear,Morning,9161
902,39,F,Single,4,10034.0,Sports,6.0,250,Standard,Suburban,IL,Collision,Yes,Rain,Afternoon,10973
903,45,M,Single,9,13262.0,Sports,16.0,500,Premium,Rural,NY,Comprehensive,No,Clear,Night,4367
904,64,M,Married,0,20978.0,Truck,7.0,1000,Standard,Suburban,FL,Collision,No,Clear,Night,6081
905,47,F,Widowed,10,9785.0,SUV,2.0,2000,Standard,Suburban,GA,Comprehensive,No,Clear,Afternoon,3089
906,45,F,Married,0,12962.0,Sedan,0.0,500,Standard,Suburban,PA,Collision,No,Clear,Afternoon,5946
907,24,F,Divorced,6,39123.0,Sedan,8.0,500,Standard,Suburban,CA,Comprehensive,Yes,Clear,Evening,8135
908,56,F,Divorced,2,20823.0,Sedan,3.0,500,Premium,Urban,GA,Collision,Yes,Clear,Afternoon,12227
909,54,M,Single,5,27358.0,Truck,7.0,1000,Basic,Rural,NY,Comprehensive,Yes,Clear,Evening,4684
910,77,M,Married,4,11871.0,Sedan,1.0,1000,Standard,Rural,TX,Collision,No,Snow,Morning,7123
911,40,F,Married,0,21441.0,Luxury,0.0,500,Standard,Suburban,IL,Liability,No,Clear,Night,6799
912,48,F,Married,3,20579.0,Truck,0.0,250,Standard,Suburban,TX,Liability,Yes,Rain,Afternoon,14380
913,48,M,Single,1,14799.0,Luxury,4.0,500,Standard,Suburban,TX,Collision,Yes,Clear,Night,10014
914,68,M,Widowed,4,21471.0,SUV,0.0,500,Basic,Urban,MI,Liability,Yes,Clear,Evening,9936
915,43,M,Married,6,8552.0,SUV,5.0,250,Standard,Urban,PA,Liability,No,Rain,Afternoon,8183
916,49,F,Married,0,27427.0,Sedan,2.0,2000,Basic,Urban,IL,Comprehensive,Yes,Clear,Morning,3117
917,54,M,Married,3,18038.0,SUV,3.0,500,Premium,Suburban,MI,Collision,No,Clear,Morning,7348
918,47,M,Single,4,19368.0,Luxury,6.0,1000,Standard,Urban,GA,Liability,Yes,Clear,Night,12120
919,38,F,Married,1,33721.0,Sedan,1.0,500,Standard,Rural,MI,Liability,Yes,Clear,Afternoon,12221
920,47,M,Divorced,15,27337.0,Sedan,2.0,2000,Basic,Rural,FL,Collision,Yes,Clear,Evening,4492
921,61,M,Divorced,3,18785.0,Sedan,5.0,250,Basic,Suburban,GA,Comprehensive,Yes,Clear,Afternoon,4824
922,29,M,Married,1,12603.0,Luxury,10.0,250,Basic,Suburban,GA,Liability,No,Rain,Night,6318
923,46,M,Married,0,42801.0,Sedan,1.0,250,Premium,Urban,NY,Liability,No,Clear,Morning,9782
924,34,M,Married,3,11270.0,Truck,3.0,1000,Standard,Rural,GA,Liability,Yes,Fog,Morning,12125
925,62,F,Married,2,30172.0,Sedan,12.0,500,Standard,Suburban,NY,Liability,Yes,Rain,Afternoon,14349
926,22,F,Single,1,9910.0,Sports,4.0,1000,Premium,Urban,MI,Comprehensive,Yes,Rain,Morning,11770
927,36,M,Married,0,34854.0,SUV,8.0,1000,Basic,Urban,NY,Liability,Yes,Clear,Morning,7903
928,50,M,Married,4,36508.0,Sedan,11.0,1000,Standard,Rural,NY,Collision,No,Fog,Night,6431
929,68,F,Single,4,8464.0,Truck,10.0,500,Premium,Suburban,PA,Collision,No,Rain,Morning,8634
930,44,M,Single,0,27575.0,Truck,5.0,500,Basic,Rural,PA,Collision,Yes,Clear,Afternoon,7166
931,36,M,Single,4,,SUV,3.0,250,Basic,Urban,CA,Comprehensive,No,Rain,Night,3784
932,73,F,Married,15,31304.0,Truck,0.0,500,Standard,Suburban,NY,Comprehensive,Yes,Clear,Night,8554
933,23,M,Married,19,26439.0,Sedan,1.0,250,Premium,Rural,FL,Collision,Yes,Clear,Morning,14464
934,18,M,Single,10,13613.0,Luxury,1.0,2000,Standard,Urban,NC,Comprehensive,Yes,Rain,Evening,10358
935,51,M,Single,8,19759.0,Sedan,0.0,1000,Basic,Suburban,MI,Comprehensive,Yes,Snow,Evening,5367
936,37,M,Divorced,1,50631.0,Sedan,0.0,1000,Premium,Suburban,NC,Collision,No,Snow,Evening,7923
937,29,M,Single,0,12658.0,Sedan,1.0,500,Standard,Urban,CA,Collision,Yes,Clear,Afternoon,10073
938,55,M,Married,2,25885.0,Sedan,0.0,500,Basic,Suburban,TX,Collision,No,Rain,Evening,5591
939,48,M,Widowed,4,39168.0,SUV,0.0,500,Standard,Rural,NC,Comprehensive,Yes,Snow,Night,8684
940,36,F,Married,9,13421.0,SUV,0.0,1000,Standard,Suburban,TX,Liability,No,Clear,Evening,6547
941,25,M,Married,1,10846.0,SUV,2.0,250,Basic,Suburban,PA,Collision,No,Clear,Night,4125
942,58,M,Married,3,11695.0,Sedan,6.0,500,Standard,Suburban,TX,Comprehensive,No,Rain,Evening,4543
943,54,F,Single,5,26835.0,Sedan,6.0,1000,Standard,Urban,IL,Collision,No,Clear,Morning,5002
944,43,F,Married,2,11645.0,Truck,9.0,500,Standard,Urban,OH,Liability,Yes,Clear,Night,12044
945,72,M,Married,3,20585.0,Truck,5.0,250,Standard,Suburban,CA,Liability,Yes,Clear,Afternoon,15928
946,28,M,Single,1,43723.0,Sedan,1.0,500,Standard,Urban,PA,Comprehensive,No,Snow,Night,5849
947,22,M,Married,20,21468.0,SUV,4.0,1000,Premium,Suburban,GA,Liability,No,Clear,Evening,8726
948,34,F,Divorced,3,14929.0,Sedan,5.0,2000,Basic,Suburban,OH,Collision,Yes,Clear,Afternoon,5739
949,44,M,Single,3,23451.0,Truck,3.0,1000,Basic,Suburban,MI,Comprehensive,Yes,Snow,Afternoon,5225
950,48,M,Married,1,21282.0,Luxury,6.0,1000,Premium,Suburban,GA,Comprehensive,Yes,Clear,Night,8447
951,41,M,Married,3,27620.0,Sedan,0.0,2000,Basic,Rural,IL,Collision,Yes,Rain,Morning,4811
952,50,M,Divorced,1,49492.0,Truck,3.0,500,Premium,Urban,CA,Liability,Yes,Rain,Night,18360
953,26,M,Divorced,1,26859.0,Sedan,2.0,250,Premium,Suburban,FL,Collision,No,Clear,Afternoon,8533
954,66,M,Married,1,60894.0,Sedan,6.0,500,Standard,Rural,IL,Liability,No,Clear,Evening,9268
955,43,F,Married,0,27657.0,SUV,0.0,1000,Standard,Suburban,IL,Liability,Yes,Rain,Afternoon,12228
956,61,F,Single,4,15007.0,SUV,0.0,500,Basic,Urban,NC,Collision,No,Rain,Morning,4978
957,50,M,Married,2,69158.0,Truck,3.0,250,Premium,Rural,FL,Comprehensive,No,Clear,Morning,5440
958,51,M,Married,11,20693.0,Truck,11.0,500,Premium,Suburban,IL,Comprehensive,No,Clear,Evening,7889
959,53,M,Married,0,12998.0,Luxury,0.0,500,Basic,Rural,TX,Comprehensive,No,Snow,Afternoon,3806
960,51,M,Widowed,0,70394.0,SUV,5.0,1000,Standard,Suburban,TX,Collision,No,Clear,Morning,5772
961,54,F,Married,10,15266.0,SUV,0.0,250,Premium,Suburban,IL,Comprehensive,No,Clear,Evening,5334
962,64,F,Married,0,14970.0,SUV,0.0,2000,Premium,Urban,NC,Comprehensive,Yes,Clear,Evening,7825
963,47,M,Married,0,16718.0,Sedan,2.0,1000,Premium,Suburban,TX,Collision,Yes,Clear,Evening,10647
964,55,M,Single,0,23916.0,SUV,3.0,1000,Standard,Suburban,GA,Liability,Yes,Clear,Night,10969
965,43,M,Married,8,35081.0,Truck,7.0,1000,Basic,Rural,FL,Liability,Yes,Rain,Evening,8528
966,66,F,Married,8,5858.0,Sedan,4.0,1000,Standard,Rural,FL,Collision,No,Clear,Evening,5647
967,34,F,Widowed,2,35005.0,Luxury,2.0,250,Standard,Suburban,TX,Liability,Yes,Clear,Evening,15877
968,72,F,Married,5,16692.0,SUV,1.0,1000,Standard,Urban,NY,Comprehensive,Yes,Clear,Afternoon,7371
969,44,F,Widowed,3,17917.0,Truck,1.0,1000,Premium,Suburban,OH,Collision,No,Clear,Evening,6252
970,23,M,Married,11,51927.0,Luxury,5.0,250,Premium,Suburban,IL,Collision,Yes,Clear,Night,18128
971,46,F,Single,0,24505.0,SUV,0.0,1000,Premium,Suburban,FL,Collision,No,Clear,Morning,7342
972,34,F,Single,8,27552.0,Sedan,0.0,500,Standard,Rural,GA,Collision,No,Clear,Morning,5474
973,57,M,Single,0,21498.0,Truck,5.0,500,Standard,Suburban,GA,Collision,No,Clear,Evening,7445
974,35,M,Married,2,32267.0,Sports,12.0,500,Basic,Suburban,GA,Comprehensive,No,Clear,Afternoon,3329
975,38,F,Single,1,49464.0,Sedan,0.0,1000,Standard,Rural,NY,Comprehensive,Yes,Clear,Afternoon,6369
976,18,F,Married,6,6389.0,Sedan,3.0,2000,Premium,Urban,FL,Collision,Yes,Rain,Night,12025
977,38,F,Widowed,5,37884.0,Sedan,1.0,1000,Premium,Suburban,GA,Comprehensive,No,Clear,Afternoon,4685
978,18,F,Married,3,47739.0,Sedan,0.0,500,Standard,Urban,PA,Collision,Yes,Snow,Evening,15025
979,21,F,Married,5,28297.0,Sports,7.0,2000,Premium,Urban,OH,Collision,No,Rain,Evening,7264
980,56,F,Single,5,15698.0,Sedan,2.0,500,Standard,Suburban,CA,Collision,No,Clear,Night,6809
981,56,M,Married,7,12380.0,Truck,0.0,500,Standard,Rural,MI,Comprehensive,Yes,Clear,Evening,7951
982,51,F,Single,1,71748.0,Sports,9.0,2000,Premium,Urban,PA,Liability,Yes,Clear,Morning,14380
983,30,M,Divorced,2,14009.0,Truck,3.0,1000,Standard,Suburban,FL,Liability,Yes,Rain,Morning,12856
984,44,M,Single,0,47043.0,Sedan,5.0,1000,Standard,Suburban,OH,Liability,Yes,Clear,Night,10986
985,44,M,Married,2,26775.0,SUV,2.0,250,Basic,Suburban,FL,Collision,Yes,Clear,Afternoon,7575
986,27,F,Married,6,61262.0,Luxury,0.0,500,Basic,Suburban,TX,Comprehensive,No,Clear,Evening,5842
987,67,F,Married,5,18786.0,Sedan,2.0,250,Basic,Suburban,FL,Collision,Yes,Snow,Night,10324
988,58,F,Divorced,6,9859.0,Sedan,1.0,1000,Standard,Urban,MI,Comprehensive,No,Rain,Night,4458
989,41,M,Single,1,22050.0,Sports,1.0,500,Standard,Urban,OH,Collision,Yes,Clear,Night,11023
990,45,M,Married,5,10475.0,SUV,4.0,250,Premium,Rural,CA,Liability,No,Snow,Night,10628
991,48,M,Married,2,80000.0,SUV,0.0,500,Basic,Suburban,NC,Collision,Yes,Clear,Night,7953
992,18,M,Married,14,30174.0,Luxury,2.0,1000,Premium,Urban,GA,Comprehensive,No,Rain,Night,9008
993,41,F,Married,2,32502.0,Truck,3.0,500,Standard,Suburban,NC,Collision,No,Snow,Evening,7841
994,34,M,Single,4,32512.0,Sedan,4.0,2000,Standard,Suburban,FL,Collision,Yes,Rain,Morning,7210
995,29,F,Married,6,15571.0,SUV,4.0,500,Standard,Suburban,NC,Comprehensive,Yes,Clear,Morning,7160
996,40,F,Widowed,11,20619.0,Sedan,8.0,1000,Standard,Urban,FL,Liability,No,Clear,Night,6278
997,71,M,Married,2,23276.0,Sedan,19.0,500,Premium,Suburban,IL,Liability,No,Clear,Night,10070
998,54,F,Divorced,2,58217.0,SUV,11.0,1000,Standard,Urban,IL,Liability,Yes,Rain,Evening,13481
999,36,M,Married,2,,Sedan,5.0,500,Standard,Urban,NC,Collision,No,Clear,Evening,5131
1000,53,M,Single,1,15301.0,Sports,4.0,1000,Premium,Suburban,CA,Collision,Yes,Rain,Evening,12930
1001,65,F,Single,5,18371.0,Sedan,0.0,250,Premium,Rural,TX,Collision,Yes,Clear,Night,15610
1002,58,F,Married,13,15727.0,SUV,3.0,1000,Basic,Suburban,PA,Collision,Yes,Rain,Evening,7380
1003,45,M,Married,0,10620.0,Truck,4.0,500,Standard,Suburban,IL,Comprehensive,Yes,Clear,Morning,6165
1004,35,M,Married,4,5696.0,Truck,2.0,500,Standard,Suburban,NY,Collision,No,Fog,Afternoon,5986
1005,55,M,Married,11,8835.0,SUV,1.0,500,Standard,Urban,FL,Comprehensive,Yes,Snow,Evening,7744
1006,50,M,Widowed,0,38158.0,SUV,3.0,1000,Standard,Suburban,CA,Comprehensive,Yes,Clear,Night,6891
1007,58,F,Married,3,21936.0,Sports,9.0,500,Standard,Urban,NC,Liability,Yes,Rain,Night,14131
1008,54,F,Married,10,33448.0,Sedan,1.0,500,Standard,Urban,CA,Comprehensive,Yes,Rain,Morning,7861
1009,60,M,Single,11,16460.0,Truck,2.0,500,Standard,Suburban,OH,Liability,Yes,Rain,Night,15023
1010,36,F,Married,3,20969.0,Sports,4.0,1000,Premium,Urban,IL,Collision,No,Rain,Morning,7174
1011,64,M,Divorced,0,49344.0,Sedan,0.0,500,Standard,Urban,TX,Collision,Yes,Clear,Morning,11013
1012,47,M,Single,0,47875.0,Luxury,7.0,500,Standard,Suburban,NY,Comprehensive,No,Clear,Evening,4421
1013,76,F,Widowed,4,35276.0,Truck,4.0,250,Premium,Suburban,MI,Comprehensive,Yes,Clear,Afternoon,11608
1014,34,F,Widowed,0,24372.0,SUV,1.0,250,Premium,Suburban,TX,Comprehensive,Yes,Rain,Night,10674
1015,71,F,Married,0,28537.0,Sedan,5.0,250,Standard,Suburban,OH,Liability,Yes,Clear,Afternoon,15750
1016,47,M,Married,7,26511.0,Sports,1.0,2000,Standard,Urban,NY,Comprehensive,No,Rain,Afternoon,2794
1017,35,F,Single,6,20262.0,Sedan,5.0,250,Premium,Suburban,GA,Collision,Yes,Clear,Afternoon,12737
1018,37,M,Single,9,17994.0,SUV,0.0,500,Basic,Urban,CA,Comprehensive,Yes,Clear,Evening,4899
1019,40,F,Single,0,38606.0,Truck,2.0,2000,Standard,Suburban,NC,Collision,Yes,Clear,Evening,6432
1020,51,F,Married,1,11523.0,Truck,,2000,Basic,Urban,GA,Collision,Yes,Rain,Evening,6149
1021,52,M,Single,8,46336.0,Sedan,6.0,250,Standard,Rural,OH,Liability,Yes,Clear,Morning,14030
1022,36,F,Married,6,19192.0,Sedan,5.0,1000,Premium,Urban,GA,Collision,Yes,Clear,Afternoon,11762
1023,44,M,Married,8,11418.0,Truck,7.0,1000,Basic,Suburban,NY,Liability,No,Clear,Evening,4924
1024,77,M,Single,20,16768.0,SUV,4.0,250,Premium,Urban,OH,Collision,Yes,Clear,Night,16394
1025,70,F,Married,9,14225.0,Sedan,6.0,1000,Basic,Urban,IL,Collision,No,Rain,Evening,4961
1026,51,M,Widowed,3,16517.0,Sedan,2.0,2000,Basic,Suburban,OH,Comprehensive,Yes,Rain,Afternoon,3894
1027,45,F,Married,1,16367.0,SUV,4.0,500,Premium,Urban,IL,Liability,Yes,Fog,Evening,19039
1028,46,M,Married,4,16045.0,SUV,0.0,500,Basic,Urban,TX,Collision,Yes,Clear,Morning,7080
1029,54,F,Married,5,18883.0,Sports,8.0,1000,Standard,Urban,MI,Collision,Yes,Rain,Evening,9373
1030,29,M,Married,2,21324.0,Sedan,4.0,1000,Standard,Urban,MI,Collision,No,Clear,Afternoon,5260
1031,41,M,Divorced,7,32271.0,Sports,8.0,1000,Basic,Suburban,IL,Comprehensive,No,Rain,Afternoon,3635
1032,19,M,Single,0,19487.0,Sports,5.0,250,Standard,Urban,FL,Comprehensive,Yes,Snow,Morning,11244
1033,50,F,Divorced,7,25926.0,SUV,1.0,1000,Basic,Urban,IL,Collision,Yes,Fog,Night,8571
1034,54,F,Married,0,22109.0,Sedan,1.0,1000,Standard,Suburban,IL,Comprehensive,No,Clear,Evening,3179
1035,37,F,Divorced,3,28862.0,Luxury,6.0,250,Premium,Suburban,PA,Collision,Yes,Clear,Evening,14842
1036,68,M,Single,9,,Sedan,0.0,250,Premium,Urban,GA,Collision,Yes,Rain,Night,17865
1037,26,M,Divorced,0,15940.0,SUV,0.0,1000,Premium,Urban,GA,Liability,No,Clear,Morning,8275
1038,23,M,Widowed,3,13917.0,SUV,0.0,500,Standard,Suburban,TX,Liability,Yes,Clear,Morning,13086
1039,48,F,Single,0,24467.0,Truck,1.0,2000,Standard,Rural,PA,Liability,No,Clear,Evening,4356
1040,60,M,Widowed,11,41634.0,SUV,0.0,500,Premium,Suburban,GA,Collision,Yes,Clear,Morning,14564
1041,70,F,Single,8,19642.0,SUV,6.0,1000,Premium,Suburban,MI,Comprehensive,Yes,Clear,Afternoon,9230
1042,38,F,Single,13,15515.0,Sports,2.0,500,Standard,Rural,TX,Liability,Yes,Rain,Night,13114
1043,61,M,Married,10,19378.0,Luxury,1.0,500,Premium,Suburban,IL,Comprehensive,Yes,Clear,Night,9573
1044,44,M,Widowed,6,16635.0,SUV,,1000,Basic,Suburban,TX,Comprehensive,Yes,Clear,Evening,4235
1045,42,F,Married,1,15780.0,SUV,0.0,500,Basic,Suburban,MI,Comprehensive,Yes,Snow,Morning,8610
1046,58,M,Married,1,10702.0,Truck,5.0,250,Standard,Urban,TX,Comprehensive,No,Clear,Afternoon,4948
1047,54,M,Married,3,19492.0,Truck,2.0,1000,Premium,Rural,FL,Comprehensive,No,Clear,Afternoon,4477
1048,21,M,Widowed,4,24782.0,Sedan,0.0,500,Basic,Suburban,IL,Comprehensive,Yes,Clear,Afternoon,6239
1049,67,F,Married,7,12823.0,SUV,1.0,500,Basic,Rural,PA,Comprehensive,No,Rain,Evening,3612
1050,65,F,Single,1,14197.0,Sedan,5.0,1000,Standard,Suburban,IL,Liability,Yes,Fog,Morning,13112
1051,35,M,Married,0,13711.0,SUV,0.0,500,Basic,Urban,GA,Comprehensive,Yes,Snow,Evening,6297
1052,50,M,Single,3,11011.0,Truck,13.0,1000,Standard,Urban,OH,Comprehensive,No,Clear,Morning,3721
1053,52,M,Married,0,13659.0,Sedan,9.0,500,Premium,Urban,IL,Liability,No,Clear,Night,7962
1054,48,F,Single,5,19951.0,Sedan,6.0,500,Standard,Urban,GA,Comprehensive,Yes,Clear,Evening,6832
1055,36,M,Single,4,11259.0,SUV,0.0,500,Standard,Urban,NY,Comprehensive,No,Snow,Night,4343
1056,34,M,Divorced,6,20562.0,Truck,1.0,250,Standard,Rural,NY,Liability,No,Fog,Afternoon,9064
1057,44,F,Married,0,15494.0,Truck,1.0,2000,Premium,Urban,PA,Collision,Yes,Clear,Morning,7273
1058,62,F,Married,16,13842.0,Sedan,0.0,1000,Premium,Suburban,IL,Comprehensive,Yes,Clear,Morning,7826
1059,53,F,Married,0,26598.0,Sedan,30.0,500,Standard,Suburban,PA,Collision,No,Rain,Night,6119
1060,39,F,Single,1,15993.0,SUV,0.0,1000,Standard,Suburban,TX,Collision,Yes,Clear,Night,9677
1061,56,M,Married,5,17413.0,SUV,1.0,1000,Premium,Suburban,CA,Collision,Yes,Clear,Evening,10816
1062,18,M,Married,0,42150.0,SUV,8.0,500,Standard,Rural,OH,Collision,No,Clear,Night,7321
1063,62,M,Divorced,0,13904.0,SUV,0.0,500,Standard,Suburban,TX,Liability,Yes,Clear,Evening,12890
1064,18,M,Married,0,48191.0,SUV,2.0,500,Standard,Urban,FL,Comprehensive,Yes,Clear,Morning,9079
1065,39,F,Married,4,18510.0,SUV,14.0,500,Basic,Suburban,FL,Comprehensive,Yes,Rain,Afternoon,6239
1066,28,F,Married,11,12480.0,Sports,1.0,1000,Premium,Urban,NC,Collision,Yes,Clear,Evening,11319
1067,25,F,Married,4,16697.0,Sports,4.0,1000,Premium,Suburban,NY,Liability,Yes,Clear,Evening,15000
1068,62,M,Married,4,22797.0,Sedan,0.0,250,Standard,Suburban,PA,Liability,No,Clear,Morning,8197
1069,37,F,Widowed,2,41243.0,SUV,3.0,2000,Premium,Suburban,GA,Liability,Yes,Snow,Afternoon,12986
1070,50,F,Married,0,32840.0,SUV,1.0,1000,Premium,Rural,PA,Comprehensive,Yes,Clear,Night,9896
1071,44,M,Married,0,22741.0,Sedan,4.0,1000,Premium,Rural,PA,Collision,Yes,Rain,Morning,13695
1072,52,F,Divorced,10,41356.0,SUV,2.0,500,Premium,Urban,MI,Collision,Yes,Rain,Morning,15494
1073,46,M,Married,0,8599.0,SUV,1.0,1000,Basic,Suburban,TX,Liability,No,Clear,Evening,3619
1074,25,M,Single,20,24952.0,Truck,3.0,500,Standard,Suburban,GA,Comprehensive,Yes,Rain,Night,8718
1075,59,F,Married,0,25718.0,Sedan,0.0,500,Standard,Urban,CA,Comprehensive,Yes,Clear,Afternoon,6592
1076,37,F,Single,5,25876.0,Sedan,6.0,500,Basic,Suburban,OH,Collision,Yes,Rain,Morning,8659
1077,21,M,Single,14,9847.0,Sedan,5.0,2000,Standard,Rural,NC,Liability,Yes,Clear,Morning,8598
1078,38,M,Single,2,13247.0,Truck,3.0,500,Standard,Urban,NC,Comprehensive,Yes,Clear,Afternoon,9127
1079,67,F,Single,6,20267.0,Sports,1.0,500,Standard,Urban,MI,Collision,No,Clear,Evening,5978
1080,57,F,Divorced,2,38460.0,SUV,9.0,250,Standard,Rural,FL,Collision,Yes,Rain,Night,14197
1081,39,F,Divorced,1,57390.0,SUV,4.0,2000,Basic,Urban,CA,Comprehensive,Yes,Clear,Night,3548
1082,39,M,Married,1,15800.0,Sedan,1.0,1000,Basic,Suburban,GA,Liability,No,Clear,Morning,4986
1083,40,M,Divorced,8,11442.0,SUV,6.0,1000,Standard,Suburban,FL,Comprehensive,No,Clear,Evening,3796
